Custom Field 2, Custom Field 1||Date|Transaction amount
Total|2026-05-20T00:00:00.000Z|11858859
Total|2026-05-21T00:00:00.000Z|119456469
Total|2026-05-22T00:00:00.000Z|55441035
Total|2026-05-23T00:00:00.000Z|25016273
Total|2026-05-24T00:00:00.000Z|122981702
Total|2026-05-25T00:00:00.000Z|496635108
Total|2026-05-26T00:00:00.000Z|115285063
Total|2026-05-27T00:00:00.000Z|147078366
Total|2026-05-28T00:00:00.000Z|5187423693
Total|2026-05-29T00:00:00.000Z|135705703
Total|2026-05-30T00:00:00.000Z|164147470
Total|2026-05-31T00:00:00.000Z|187229325
Total|2026-06-01T00:00:00.000Z|91418930
Total|2026-06-02T00:00:00.000Z|47666437
Total|2026-06-03T00:00:00.000Z|78896755
Total|2026-06-04T00:00:00.000Z|47321646
N/A, N/A|2026-05-20T00:00:00.000Z|0
N/A, N/A|2026-05-21T00:00:00.000Z|0
N/A, N/A|2026-05-22T00:00:00.000Z|0
N/A, N/A|2026-05-23T00:00:00.000Z|0
N/A, N/A|2026-05-24T00:00:00.000Z|0
N/A, N/A|2026-05-25T00:00:00.000Z|202
N/A, N/A|2026-05-26T00:00:00.000Z|0
N/A, N/A|2026-05-27T00:00:00.000Z|0
N/A, N/A|2026-05-28T00:00:00.000Z|0
N/A, N/A|2026-05-29T00:00:00.000Z|0
N/A, N/A|2026-05-30T00:00:00.000Z|0
N/A, N/A|2026-05-31T00:00:00.000Z|0
N/A, N/A|2026-06-01T00:00:00.000Z|0
N/A, N/A|2026-06-02T00:00:00.000Z|0
N/A, N/A|2026-06-03T00:00:00.000Z|0
N/A, N/A|2026-06-04T00:00:00.000Z|0
N/A, team_Guard|2026-05-20T00:00:00.000Z|1162
N/A, team_Guard|2026-05-21T00:00:00.000Z|10796
N/A, team_Guard|2026-05-22T00:00:00.000Z|4549
N/A, team_Guard|2026-05-23T00:00:00.000Z|1262
N/A, team_Guard|2026-05-24T00:00:00.000Z|1060
N/A, team_Guard|2026-05-25T00:00:00.000Z|870
N/A, team_Guard|2026-05-26T00:00:00.000Z|12103
N/A, team_Guard|2026-05-27T00:00:00.000Z|14064
N/A, team_Guard|2026-05-28T00:00:00.000Z|12517
N/A, team_Guard|2026-05-29T00:00:00.000Z|12783
N/A, team_Guard|2026-05-30T00:00:00.000Z|15260
N/A, team_Guard|2026-05-31T00:00:00.000Z|16042
N/A, team_Guard|2026-06-01T00:00:00.000Z|5978
N/A, team_Guard|2026-06-02T00:00:00.000Z|2624
N/A, team_Guard|2026-06-03T00:00:00.000Z|4727
N/A, team_Guard|2026-06-04T00:00:00.000Z|2258
N/A, team_Inmate|2026-05-20T00:00:00.000Z|4452
N/A, team_Inmate|2026-05-21T00:00:00.000Z|44084
N/A, team_Inmate|2026-05-22T00:00:00.000Z|17968
N/A, team_Inmate|2026-05-23T00:00:00.000Z|3202
N/A, team_Inmate|2026-05-24T00:00:00.000Z|2506
N/A, team_Inmate|2026-05-25T00:00:00.000Z|1762
N/A, team_Inmate|2026-05-26T00:00:00.000Z|42471
N/A, team_Inmate|2026-05-27T00:00:00.000Z|48525
N/A, team_Inmate|2026-05-28T00:00:00.000Z|47152
N/A, team_Inmate|2026-05-29T00:00:00.000Z|48491
N/A, team_Inmate|2026-05-30T00:00:00.000Z|56686
N/A, team_Inmate|2026-05-31T00:00:00.000Z|61393
N/A, team_Inmate|2026-06-01T00:00:00.000Z|24015
N/A, team_Inmate|2026-06-02T00:00:00.000Z|11611
N/A, team_Inmate|2026-06-03T00:00:00.000Z|22406
N/A, team_Inmate|2026-06-04T00:00:00.000Z|10199
N/A, team_Operator|2026-05-20T00:00:00.000Z|2
N/A, team_Operator|2026-05-21T00:00:00.000Z|51
N/A, team_Operator|2026-05-22T00:00:00.000Z|33
N/A, team_Operator|2026-05-23T00:00:00.000Z|93
N/A, team_Operator|2026-05-24T00:00:00.000Z|124
N/A, team_Operator|2026-05-25T00:00:00.000Z|0
N/A, team_Operator|2026-05-26T00:00:00.000Z|166
N/A, team_Operator|2026-05-27T00:00:00.000Z|181
N/A, team_Operator|2026-05-28T00:00:00.000Z|54
N/A, team_Operator|2026-05-29T00:00:00.000Z|102
N/A, team_Operator|2026-05-30T00:00:00.000Z|71
N/A, team_Operator|2026-05-31T00:00:00.000Z|59
N/A, team_Operator|2026-06-01T00:00:00.000Z|50
N/A, team_Operator|2026-06-02T00:00:00.000Z|28
N/A, team_Operator|2026-06-03T00:00:00.000Z|106
N/A, team_Operator|2026-06-04T00:00:00.000Z|57
N/A, team_Warden|2026-05-20T00:00:00.000Z|0
N/A, team_Warden|2026-05-21T00:00:00.000Z|30
N/A, team_Warden|2026-05-22T00:00:00.000Z|5
N/A, team_Warden|2026-05-23T00:00:00.000Z|181
N/A, team_Warden|2026-05-24T00:00:00.000Z|52
N/A, team_Warden|2026-05-25T00:00:00.000Z|17
N/A, team_Warden|2026-05-26T00:00:00.000Z|68
N/A, team_Warden|2026-05-27T00:00:00.000Z|55
N/A, team_Warden|2026-05-28T00:00:00.000Z|34
N/A, team_Warden|2026-05-29T00:00:00.000Z|39
N/A, team_Warden|2026-05-30T00:00:00.000Z|98
N/A, team_Warden|2026-05-31T00:00:00.000Z|138
N/A, team_Warden|2026-06-01T00:00:00.000Z|26
N/A, team_Warden|2026-06-02T00:00:00.000Z|28
N/A, team_Warden|2026-06-03T00:00:00.000Z|19
N/A, team_Warden|2026-06-04T00:00:00.000Z|28
team_Guard, Box Placed!|2026-05-20T00:00:00.000Z|4489
team_Guard, Box Placed!|2026-05-21T00:00:00.000Z|211195
team_Guard, Box Placed!|2026-05-22T00:00:00.000Z|30017
team_Guard, Box Placed!|2026-05-23T00:00:00.000Z|554428
team_Guard, Box Placed!|2026-05-24T00:00:00.000Z|490838
team_Guard, Box Placed!|2026-05-25T00:00:00.000Z|148468
team_Guard, Box Placed!|2026-05-26T00:00:00.000Z|362302
team_Guard, Box Placed!|2026-05-27T00:00:00.000Z|346432
team_Guard, Box Placed!|2026-05-28T00:00:00.000Z|268108
team_Guard, Box Placed!|2026-05-29T00:00:00.000Z|413930
team_Guard, Box Placed!|2026-05-30T00:00:00.000Z|390348
team_Guard, Box Placed!|2026-05-31T00:00:00.000Z|301057
team_Guard, Box Placed!|2026-06-01T00:00:00.000Z|87586
team_Guard, Box Placed!|2026-06-02T00:00:00.000Z|53624
team_Guard, Box Placed!|2026-06-03T00:00:00.000Z|70063
team_Guard, Box Placed!|2026-06-04T00:00:00.000Z|15198
team_Guard, Completed quest!|2026-05-20T00:00:00.000Z|116650
team_Guard, Completed quest!|2026-05-21T00:00:00.000Z|1085050
team_Guard, Completed quest!|2026-05-22T00:00:00.000Z|508550
team_Guard, Completed quest!|2026-05-23T00:00:00.000Z|211300
team_Guard, Completed quest!|2026-05-24T00:00:00.000Z|198500
team_Guard, Completed quest!|2026-05-25T00:00:00.000Z|129600
team_Guard, Completed quest!|2026-05-26T00:00:00.000Z|1138800
team_Guard, Completed quest!|2026-05-27T00:00:00.000Z|1386350
team_Guard, Completed quest!|2026-05-28T00:00:00.000Z|1274550
